Timestamp,SCOP:AMRF:RF01:AI_MEAS1
2024/03/18 18:59:59.674,-0.091
2024/03/18 20:49:40.906,-0.089
2024/03/18 22:35:56.522,-0.089
2024/03/19 00:59:51.073,-0.083
2024/03/19 02:59:59.632,-0.089
2024/03/19 04:59:59.228,-0.113
2024/03/19 06:59:59.690,-0.121
2024/03/19 08:59:58.685,-0.123
2024/03/19 10:59:53.776,-0.097
2024/03/19 12:59:56.936,-0.133
2024/03/19 14:59:53.720,-0.131
2024/03/19 15:23:06.428,-0.131
2024/03/19 20:59:57.398,-0.129
2024/03/19 22:59:59.886,-0.105
2024/03/20 00:59:51.341,-0.091
2024/03/20 02:59:59.751,-0.129
2024/03/20 04:59:57.263,-0.089
2024/03/20 06:59:47.527,-0.125
2024/03/20 12:59:59.644,-0.091
2024/03/20 14:59:57.674,-0.093
2024/03/20 16:59:59.948,-0.099
2024/03/20 18:59:56.813,-0.093
2024/03/20 20:59:49.355,-0.095
2024/03/20 22:59:54.859,-0.095
2024/03/21 00:59:59.839,-0.097
2024/03/21 02:59:59.069,-0.101
2024/03/21 04:59:59.480,-0.097
2024/03/21 06:59:55.971,-0.085
2024/03/21 08:47:47.723,-0.093
2024/03/21 10:59:54.565,-0.105
2024/03/21 12:54:32.754,-0.097
2024/03/21 14:59:59.612,-0.099
2024/03/21 16:59:51.178,-0.099
2024/03/21 18:59:59.905,-0.097
2024/03/21 20:59:59.315,-0.099
2024/03/21 22:59:57.000,-0.095
2024/03/22 00:59:59.762,-0.099
2024/03/22 02:59:55.017,-0.123
2024/03/22 04:59:51.128,-0.117
2024/03/22 06:59:59.510,-0.087
2024/03/22 08:59:54.371,-0.095
2024/03/22 10:59:59.608,-0.083
2024/03/22 12:59:54.906,-0.095
2024/03/22 14:59:57.659,-0.097
2024/03/22 16:59:27.453,-0.099
2024/03/22 18:37:07.234,-0.103
2024/03/22 20:36:53.459,-0.105
2024/03/22 22:59:55.559,-0.107
2024/03/23 00:59:59.163,-0.099
2024/03/23 02:59:59.081,-0.107
2024/03/23 04:59:57.043,-0.105
2024/03/23 06:59:53.970,-0.107
2024/03/23 08:59:59.569,-0.105
2024/03/23 10:59:58.471,-0.107
2024/03/23 11:38:16.071,-0.103
2024/03/23 14:59:59.331,-0.307
2024/03/23 16:59:54.935,-0.105
2024/03/23 18:59:31.402,-0.093
2024/03/23 20:59:53.828,-0.089
2024/03/23 22:59:49.770,-0.093
2024/03/24 00:59:59.523,-0.109
2024/03/24 02:59:51.562,-0.109
2024/03/24 04:59:59.969,-0.091
2024/03/24 06:59:59.479,-0.073
2024/03/24 08:58:13.537,-0.273
2024/03/24 10:59:59.014,-0.097
