Timestamp,BPMS:GUNB:925:FW:X_SLOW,BPMS:GUNB:925:FW:Y_SLOW,SCOP:AMRF:RF01:AI_MEAS1
2024/02/24 18:38:57.953,N/A,N/A,-0.093
2024/02/24 18:39:03.370,-0.039668121337890626,0.1978948974609375,N/A
2024/02/24 18:39:04.448,-0.029862518310546877,0.21215759277343751,N/A
2024/02/24 18:39:05.428,-0.02139404296875,0.19655776977539063,N/A
2024/02/24 18:39:05.840,N/A,N/A,-0.091
2024/02/24 18:39:06.404,N/A,N/A,-0.093
2024/02/24 18:39:06.408,-0.044125213623046874,N/A,N/A
2024/02/24 18:39:07.388,-0.03833099365234375,N/A,N/A
2024/02/24 18:39:07.520,N/A,N/A,-0.087
2024/02/24 18:39:08.139,N/A,N/A,-0.095
2024/02/24 18:39:08.368,-0.029416809082031252,N/A,N/A
2024/02/24 18:39:09.271,N/A,N/A,-0.089
2024/02/24 18:39:09.446,-0.06863922119140625,N/A,N/A
2024/02/24 18:39:09.834,N/A,N/A,-0.087
2024/02/24 18:39:10.376,N/A,N/A,-0.089
2024/02/24 18:39:10.426,-0.0338739013671875,N/A,N/A
2024/02/24 18:39:10.937,N/A,N/A,-0.093
2024/02/24 18:39:11.406,-0.029416809082031252,N/A,N/A
2024/02/24 18:39:11.511,N/A,N/A,-0.095
2024/02/24 18:39:12.063,N/A,N/A,-0.091
2024/02/24 18:39:12.386,-0.003565673828125,N/A,N/A
2024/02/24 18:39:12.660,N/A,N/A,-0.093
2024/02/24 18:39:13.366,-0.0303082275390625,N/A,N/A
2024/02/24 18:39:14.444,-0.06641067504882812,N/A,N/A
2024/02/24 18:39:15.424,-0.03699386596679688,N/A,N/A
2024/02/24 18:39:16.404,-0.04011383056640625,N/A,N/A
2024/02/24 18:39:17.384,-0.03476531982421875,N/A,N/A
2024/02/24 18:39:18.364,-0.04011383056640625,N/A,N/A
2024/02/24 18:39:19.442,-0.012925567626953125,0.181849365234375,N/A
2024/02/24 18:39:20.422,-0.00980560302734375,0.14797546386718752,N/A
2024/02/24 18:39:21.143,N/A,N/A,-0.093
2024/02/24 18:39:21.402,-0.04858230590820312,0.16000961303710937,N/A
2024/02/24 18:39:21.705,N/A,N/A,-0.097
2024/02/24 18:39:22.290,N/A,N/A,-0.093
2024/02/24 18:39:22.382,-0.032536773681640624,0.14842117309570313,N/A
2024/02/24 18:39:22.844,N/A,N/A,-0.089
2024/02/24 18:39:23.362,-0.02763397216796875,0.160455322265625,N/A
2024/02/24 18:39:23.456,N/A,N/A,-0.091
2024/02/24 18:39:24.031,N/A,N/A,-0.087
2024/02/24 18:39:24.440,-0.0427880859375,0.188980712890625,N/A
2024/02/24 18:39:24.582,N/A,N/A,-0.091
2024/02/24 18:39:25.160,N/A,N/A,-0.089
2024/02/24 18:39:25.420,-0.07710769653320312,0.15911819458007814,N/A
2024/02/24 18:39:25.709,N/A,N/A,-0.091
2024/02/24 18:39:26.289,N/A,N/A,-0.093
2024/02/24 18:39:26.400,-0.027188262939453124,0.16892379760742188,N/A
2024/02/24 18:39:26.865,N/A,N/A,-0.097
2024/02/24 18:39:27.380,-0.05615936279296875,0.13415847778320314,N/A
2024/02/24 18:39:28.360,-0.06373641967773437,0.11989578247070312,N/A
2024/02/24 18:39:29.438,-0.02050262451171875,0.15956390380859375,N/A
2024/02/24 18:39:30.418,-0.034319610595703126,N/A,N/A
2024/02/24 18:39:31.398,-0.049473724365234374,N/A,N/A
2024/02/24 18:39:32.009,N/A,N/A,-0.093
2024/02/24 18:39:32.378,-0.044125213623046874,N/A,N/A
2024/02/24 18:39:32.570,N/A,N/A,-0.095
2024/02/24 18:39:33.358,0.067747802734375,N/A,N/A
2024/02/24 18:39:33.757,N/A,N/A,-0.093
2024/02/24 18:39:34.319,N/A,N/A,-0.085
2024/02/24 18:39:34.436,0.07844482421875,N/A,N/A
2024/02/24 18:39:34.888,N/A,N/A,-0.087
2024/02/24 18:39:35.416,0.05214797973632813,N/A,N/A
2024/02/24 18:39:35.436,N/A,N/A,-0.089
2024/02/24 18:39:36.009,N/A,N/A,-0.083
2024/02/24 18:39:36.396,0.10251312255859375,N/A,N/A
2024/02/24 18:39:36.569,N/A,N/A,-0.089
2024/02/24 18:39:37.376,0.06373641967773437,N/A,N/A
2024/02/24 18:39:37.649,N/A,N/A,-0.087
2024/02/24 18:39:38.356,0.06819351196289063,N/A,N/A
2024/02/24 18:39:38.838,N/A,N/A,-0.089
2024/02/24 18:39:39.434,0.074879150390625,N/A,N/A
2024/02/24 18:39:40.414,0.06373641967773437,N/A,N/A
2024/02/24 18:39:40.557,N/A,N/A,-0.083
2024/02/24 18:39:41.394,0.0873590087890625,N/A,N/A
2024/02/24 18:39:42.374,0.08111907958984375,N/A,N/A
2024/02/24 18:39:43.354,0.10295883178710938,0.34497894287109376,N/A
2024/02/24 18:39:44.432,0.06418212890625,0.4024754333496094,N/A
2024/02/24 18:39:45.412,0.10117599487304688,0.3975726318359375,N/A
2024/02/24 18:39:46.392,0.07042205810546875,0.36815582275390624,N/A
2024/02/24 18:39:47.372,0.0944903564453125,0.38732131958007815,N/A
2024/02/24 18:39:47.460,N/A,N/A,-0.091
2024/02/24 18:39:48.450,0.06863922119140625,0.41584671020507813,N/A
2024/02/24 18:39:48.652,N/A,N/A,-0.093
2024/02/24 18:39:49.207,N/A,N/A,-0.089
2024/02/24 18:39:49.430,0.09538177490234376,0.38642990112304687,N/A
2024/02/24 18:39:49.804,N/A,N/A,-0.087
2024/02/24 18:39:50.345,N/A,N/A,-0.083
2024/02/24 18:39:50.410,0.07354202270507813,0.3507731628417969,N/A
2024/02/24 18:39:50.921,N/A,N/A,-0.091
2024/02/24 18:39:51.390,0.08513046264648438,0.33606475830078125,N/A
2024/02/24 18:39:51.481,N/A,N/A,-0.083
2024/02/24 18:39:52.073,N/A,N/A,-0.087
2024/02/24 18:39:52.370,0.054822235107421874,0.38063568115234375,N/A
2024/02/24 18:39:53.274,N/A,N/A,-0.093
2024/02/24 18:39:53.448,0.067747802734375,0.33695617675781253,N/A
2024/02/24 18:39:53.875,N/A,N/A,-0.083
2024/02/24 18:39:54.428,0.07175918579101563,N/A,N/A
2024/02/24 18:39:54.964,N/A,N/A,-0.089
2024/02/24 18:39:55.408,0.1087530517578125,N/A,N/A
2024/02/24 18:39:56.388,0.058833618164062504,N/A,N/A
2024/02/24 18:39:58.446,0.06641067504882812,N/A,N/A
2024/02/24 18:39:59.426,0.059725036621093755,N/A,N/A
2024/02/24 18:40:00.406,0.0802276611328125,N/A,N/A
2024/02/24 18:40:01.386,0.04991943359375,N/A,N/A
2024/02/24 18:40:02.366,0.11187301635742188,N/A,N/A
2024/02/24 18:40:03.444,0.0909246826171875,N/A,N/A
2024/02/24 18:40:03.569,N/A,N/A,-0.087
