Timestamp,SCOP:AMRF:RF01:AI_MEAS1,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS1,SCOP:AMRF:RF01:AI_MEAS4,SCOP:AMRF:RF01:AI_MEAS2,SCOP:AMRF:RF01:AI_MEAS3,SCOP:AMRF:RF03:AI_MEAS2,SCOP:AMRF:RF03:AI_MEAS3
2024/04/01 14:06:51.559,N/A,N/A,N/A,N/A,-0.085,-0.095,-0.107,N/A,N/A
2024/04/01 14:06:51.785,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,-0.083,-0.091
2024/04/01 14:06:52.092,N/A,N/A,N/A,N/A,-0.089,-0.099,-0.109,N/A,N/A
2024/04/01 14:06:52.331,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:06:52.664,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.111,N/A,N/A
2024/04/01 14:06:52.904,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:06:53.211,N/A,N/A,N/A,N/A,N/A,-0.099,-0.109,N/A,N/A
2024/04/01 14:06:53.435,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:06:53.778,N/A,N/A,N/A,N/A,N/A,-0.097,N/A,N/A,N/A
2024/04/01 14:06:54.009,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,N/A,-0.089
2024/04/01 14:06:54.323,N/A,N/A,N/A,N/A,-0.085,-0.099,N/A,N/A,N/A
2024/04/01 14:06:54.541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.087
2024/04/01 14:06:54.879,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.113,N/A,N/A
2024/04/01 14:06:55.116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.081,-0.089
2024/04/01 14:06:55.664,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.083,-0.091
2024/04/01 14:06:56.277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,N/A
2024/04/01 14:06:57.159,N/A,N/A,N/A,N/A,-0.087,N/A,-0.111,N/A,N/A
2024/04/01 14:06:57.381,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.093
2024/04/01 14:06:57.747,N/A,N/A,N/A,N/A,-0.083,N/A,-0.107,N/A,N/A
2024/04/01 14:06:57.931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:06:58.309,N/A,N/A,N/A,N/A,N/A,-0.097,N/A,N/A,N/A
2024/04/01 14:06:58.843,N/A,N/A,N/A,N/A,N/A,-0.095,N/A,N/A,N/A
2024/04/01 14:06:59.049,N/A,N/A,N/A,-0.095,N/A,N/A,N/A,-0.081,N/A
2024/04/01 14:06:59.376,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.109,N/A,N/A
2024/04/01 14:06:59.623,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:06:59.930,N/A,N/A,N/A,N/A,-0.083,-0.097,-0.107,N/A,N/A
2024/04/01 14:07:00.184,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,N/A
2024/04/01 14:07:00.492,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:00.783,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:07:01.066,N/A,N/A,N/A,N/A,-0.083,-0.095,-0.107,N/A,N/A
2024/04/01 14:07:01.345,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.087,-0.093
2024/04/01 14:07:01.640,N/A,N/A,N/A,N/A,N/A,-0.097,N/A,N/A,N/A
2024/04/01 14:07:01.901,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:07:02.212,N/A,N/A,N/A,N/A,-0.085,-0.095,-0.109,N/A,N/A
2024/04/01 14:07:02.453,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:07:02.773,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.111,N/A,N/A
2024/04/01 14:07:03.015,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:07:03.371,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.109,N/A,N/A
2024/04/01 14:07:03.575,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:07:03.948,N/A,N/A,N/A,N/A,-0.087,N/A,-0.111,N/A,N/A
2024/04/01 14:07:04.129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,-0.091
2024/04/01 14:07:04.527,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.113,N/A,N/A
2024/04/01 14:07:04.664,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:07:05.182,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:07:05.755,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,-0.095
2024/04/01 14:07:06.345,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.093
2024/04/01 14:07:06.832,N/A,N/A,N/A,N/A,-0.085,N/A,N/A,N/A,N/A
2024/04/01 14:07:07.399,N/A,N/A,N/A,N/A,-0.087,N/A,N/A,N/A,N/A
2024/04/01 14:07:07.926,N/A,N/A,N/A,N/A,N/A,-0.099,-0.111,N/A,N/A
2024/04/01 14:07:08.486,N/A,N/A,N/A,N/A,-0.089,-0.103,-0.113,N/A,N/A
2024/04/01 14:07:08.527,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:07:09.024,N/A,N/A,N/A,N/A,-0.083,-0.097,-0.107,N/A,N/A
2024/04/01 14:07:09.586,N/A,N/A,N/A,N/A,-0.087,-0.099,-0.111,N/A,N/A
2024/04/01 14:07:10.179,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.083,-0.093
2024/04/01 14:07:10.687,N/A,N/A,N/A,N/A,-0.089,-0.103,-0.113,N/A,N/A
2024/04/01 14:07:10.734,N/A,N/A,N/A,-0.107,N/A,N/A,N/A,-0.089,-0.097
2024/04/01 14:07:11.284,N/A,N/A,N/A,N/A,-0.085,-0.099,-0.107,N/A,N/A
2024/04/01 14:07:11.344,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.089
2024/04/01 14:07:11.835,N/A,N/A,N/A,N/A,-0.083,-0.097,-0.109,N/A,N/A
2024/04/01 14:07:11.913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:07:12.389,N/A,N/A,N/A,N/A,-0.085,-0.099,N/A,N/A,N/A
2024/04/01 14:07:12.448,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:07:12.937,N/A,N/A,N/A,N/A,N/A,N/A,-0.107,N/A,N/A
2024/04/01 14:07:13.022,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,-0.081,-0.087
